trait,NumPCs
BRKG_BIOMASS,4
CLMB_BIOMASS,4
FRMI_BIOMASS,3
KBSM_BIOMASS,4
KING_BIOMASS,2
LINC_BIOMASS,4
PKLE_BIOMASS,4
STIL_BIOMASS,2
TMPL_BIOMASS,4
BRKG_REGR,4
CLMB_REGR,0
FRMI_REGR,3
KBSM_REGR,3
KING_REGR,3
LINC_REGR,3
OVTN_REGR,3
PKLE_REGR,3
STIL_REGR,0
TMPL_REGR,3
BRKG_LD_EOS,1
CLMB_LD_EOS,2
FRMI_LD_EOS,2
KBSM_LD_EOS,2
KING_LD_EOS,2
LINC_LD_EOS,2
OVTN_LD_EOS,2
PKLE_LD_EOS,2
STIL_LD_EOS,2
TMPL_LD_EOS,2
BRKG_MOISTURE,2
CLMB_MOISTURE,2
FRMI_MOISTURE,2
KBSM_MOISTURE,4
KING_MOISTURE,2
LINC_MOISTURE,2
PKLE_MOISTURE,2
STIL_MOISTURE,2
TMPL_MOISTURE,2
