Loss_BRKG > 159,Loss_LINC > 179,Loss_FRMI > 84,Loss_CLMB > 94,n
FALSE,FALSE,FALSE,FALSE,33265516
FALSE,FALSE,FALSE,TRUE,56289
FALSE,FALSE,TRUE,FALSE,163141
FALSE,FALSE,TRUE,TRUE,23009
FALSE,TRUE,FALSE,FALSE,8936
FALSE,TRUE,FALSE,TRUE,29688
FALSE,TRUE,TRUE,FALSE,8836
FALSE,TRUE,TRUE,TRUE,1723
TRUE,FALSE,FALSE,FALSE,8074
TRUE,FALSE,FALSE,TRUE,2128
TRUE,FALSE,TRUE,FALSE,21550
TRUE,FALSE,TRUE,TRUE,15379
TRUE,TRUE,FALSE,FALSE,36416
TRUE,TRUE,FALSE,TRUE,142247
TRUE,TRUE,TRUE,FALSE,43872
TRUE,TRUE,TRUE,TRUE,58355
NA,NA,NA,FALSE,1
